id,spoiler
0,balloons
1,Helping others will lead to 'generosity burnout' and can damage your career - We're always being encouraged to help others before we help ourselves. And in the workplace putting your needs before those of your colleagues is often seen as selfish behaviour. But new research says being selfless at work can backfire. Giving at the expense of your own well-being damages your chance of long-term success
2,Have a Bunch of Money
3,Braconid
4,Cured egg yolks
5,"""Main Title,"" ""The Imperial March,"" ""Princess Leia's Theme"" and HuffPost Entertainment's personal favorite, ""The Throne Room/End Title (Medley)."""
6,"1. Take a long, warm shower with sweet-smelling essential oils"
7,Flynn
8,Lord Ivar Mountbatten
9,putting away too much
10,"""Who is watching your kids?"""
11,trying too hard
12,Celia Cruz
13,"""People talk a lot and they know little,"" De Gea said in quotes appearing in Marca. ""I know how all this works, but what I think is disrespectful is when people start making out that it's something I have said. ""I've got three more years on my contract with United and the desire to win more titles here."""
14,Their lives are claustrophobic and squalid
15,$117 billion
16,why the Chihiro's parents turned into pigs
17,shopping malls have become a kind of replacement for religious structures in our contemporary consumer society
18,1. Get an education
19,New York
20,Michael Sam
21,"Drunk or Danish? Swedish police eventually work it out Police in western Sweden initially thought a man whose car was stuck in the snow was Danish, but after a while they realized he was slurring his words because he was drunk"
22,"The starting price being extremely low, you only need a few credits to get amazing discounts, which can go up to 90% of the retail value of the products!"
23,yellow raincoat
24,helping to raise awareness about a very important issue
25,Comic-Con
26,"Something was ""off."""
27,Most Americans think climate change
28,Trump dominated in every other corner of the state
29,"Universal Basic Income, or UBI. While it’s far from mainstream acceptance, UBI is viewed by some as a means to provide workers with economic stability as an increasing amount of the world’s labor is automated"
30,1. Iceland
31,"he is giving his owner some seriously relentless side-eye. Watch the hilarious video below to see one unamused puppy. This was the perfect way to start my week. Just to image of the dog’s face is enough to make me burst out laughing. If he could talk, this dog would be saying, ""I’m not mad, I’m just disappointed."""
32,Tesco
33,"Unfortunately, the NES Classic Edition is not available for pre-order just yet"
34,"College affordability has recently become the preeminent issue in higher education, as student-debt figures have hit staggering levels. But most conversations center on ballooning tuition costs, rather than a less well-known expense that strains the wallets of college students: textbooks"
35,belts out a few of his favorite Broadway tunes
36,Laziness
37,"Austin, Texas"
38,a neurodegenerative disease
39,YInMn blue
40,blue
41,An eagle-eyed Mars 'anomaly hunter' has spotted a strange object that looks like a green bottle
42,"Parenthood' Is The Saddest, Happiest Show On TV - Last season on ""Parenthood"
43,"New York City has the highest population density in the US, and with 8,550,405 people roaming the nation’s melting pot, it’s bound to get smelly. A census conducted in July 2015 showed that the city had a population density of over 27,000 people per square mile. To put that into perspective, the US, on average, holds only 80 people per square mile. That much combined body odor alone could be enough to scare anyone away. With such an insanely huge number of people living in just one city, it should come as no surprise that there is also an insanely huge amount of garbage produced"
44,"Five raccoons were trapped inside the Coonskin Park trash receptacle, and one of those raccoons was like nothing he'd ever seen before. As to how they got stuck, James said, ""The dumpster had apparently been emptied and the garbage level was low and the raccoons couldn’t reach the top to get back out."" And that rare raccoon? He didn't really look like like his family members—or like any raccoon James had ever seen! This trashmonger was an albino raccoon"
45,Jason Aldean
46,"""Harry pocketed it"
47,30 minutes
48,gospel music
49,nothing will be just right for my kids. The kitty folders are too childish
50,"The former Vanderbilt quarterback is set to appear on the SEC Network as a college football analyst this season, and an ESPN executive says Rodgers earned the role on his talent alone"
51,Keeping DLC mostly free
52,1) Readers wanted to read about it
53,1. Eat legumes
54,Pennsylvania
55,plastic debris
56,40 percent of marriages involve one spouse who's been married before
57,Louise the infant koala
58,"playing dead."""
59,Miley Cyrus
60,Mrs. Thom
61,Step 1:
62,handwashing
63,Jussie Smollett
64,"If Mr. Trump can’t reunify Republican-leaning voters, Mrs. Clinton really could win in a landslide."""
65,Don't post pictures of your boarding pass on social media
66,a tax haven cozily nested inside the United States
67,Kevin Hart
68,Old HBO Shows
69,"$25,000 per month"
70,Goodbye Sapphire
71,University of Vermont
72,Doors open based on who you know
73,1. Museum of Modern Art
74,A dietitian
75,Bolivia's chaotic San Pedro Prison
76,moon
77,Tokyo
78,Snapchat
79,Mexico City
80,MS Dhoni
81,a 4 mm tumor
82,mullet
83,"she had plastic surgery years ago to make her eyes look ""bigger"" and advance her career. Chen told her fellow co-hosts on ""The Talk"" that when she was a young local news reporter, her news director told her she would never make it to the anchor desk because she was Asian and because of her ""Asian eyes."""
84,Neuphoric Anti-Aging Cream
85,"there are tons of benefits to metcon workouts, including improved fat loss, increased calorie burn compared to steady-state workouts, muscular strength gains, and improved cardiovascular function"
86,Katy Perry
87,The Netherlands
88,Mzznaki Tetteh
89,World War I
90,a piece of foam with a photo of the thing I wanted printed on it
91,1. A SINGLE TABLESPOON HAS MORE SUGAR THAN A CHOCOLATE CHIP COOKIE.
92,"Kat Cole Position: CEO of Cinnabon Unusual start: Hooters girl As a teenager, she wanted to be a corporate lawyer and needed to save for college. So, at age 17, she became a hostess at a local Hooters and then, when she turned 18, a waitress"
93,The 1937 Bugatti Type 57S
94,wants to make America great again
95,Peter Pilotto
96,With the adoption of modern lifestyles
97,"vocal opinion on the presumptive Republican presidential nominee, Donald Trump. During an appearance on the BBC's Graham Norton Show on Friday, Lawrence told Norton exactly how she felt about The Donald. Apparently, the two powerhouse public figures were both attending the same concert one evening. After learning this fact, Lawrence was determined to have her own little ""meet and greet"" with Trump. ""I had my full security, like, I was like, 'Find Donald Trump,'"" she told Norton. ""Cause I was just, I was adamant on finding him and then making a video of me going, 'Hey Trump, f*** you!'"""
98,"Nebraska allocates its electoral college votes not in the usual winner-take-all method, but by congressional district"
99,"cancel the Paris Climate Plan."""
100,1. Adventurous Christmas: Chile
101,"___ SECOND WIND As has become familiar practice at E3, a litany of sequels and prequels will be on hand at the convention, including several sophomore outings. They include the stealth adventure ""Dishonored 2,"" mech-heavy shooter ""Titanfall 2,"" superhero mash-up ""Injustice 2,"" hacker tale ""Watch Dogs 2"" and sci-fi strategy game ""Halo Wars 2."" There will likely be many more franchise follow-ups unveiled at publishers' splashy press conferences Sunday and Monday. ___ NEW REALITY"
102,Thai people spend the majority of their waking hours being completely sedentary
103,online multiplayer unplayable
104,raw apple and raw lettuce
105,anaphylaxis
106,Alfredo
107,strapped up to her heart monitoring machine
108,Delores Curtis
109,bushfire
110,1.) Housing
111,"""The logic of the drugs war only leads one way: the police get smarter, so the criminals get nastier; things can only ever go from bad to worse, from savagery to savagery,"""
112,animals that rob the food of other species
113,title page
114,Shamus Beaglehole
115,"There were no big revelations and, just as I suspected, I am not related to royalty. But I did wonder if I could learn anything more from the DNA report. That search sent me down a rabbit hole that lead me to the story of Michael Usry Jr., a young filmmaker who became a suspect in the Angie Dodge murder investigation. After getting my DNA report I learned that there are a number of genealogy sites, educational institutions and companies that are willing to offer you further insight into what your DNA may reveal, as long as you’re willing to upload your DNA profile to them"
116,Wolverampton
117,igloo
118,"a cloaked protagonist with superhuman strength locks horns with a scheming, criminally insane supervillain"
119,Ruby Tuesday (RT)
120,"Yields on government bonds from all around the world have been plunging thanks to anxious investors buying them for their safety. (Bond yields fall as prices rise.) And in many instances, the returns have cratered below zero. As Quartz reports Thursday, ""around a third of all developed-country government debt—or more than $7 trillion, in terms of market value—is now trading at negative yields"
121,Towels
122,J. Crew
123,Andy Stern
124,"the main character almost never has a mother. But why? Think about it! Cinderella? No mom. The Little Mermaid? No mom. Pocahontas? No mom.  Now some skeptics might point out that there are also a lot of characters who don't have any parents at all – like in Aladdin. But even in those films, there are side characters who have a father and no mother. Recall Jasmine's dad the Sultan? No wifey. Well if you've been trying to think of a reason behind this common plot structure, look no further. Because longtime Disney producer Don Hahn recently offered two very insightful theories behind Walt's method. And one theory behind it is quite sad! Don explained that the lack of parents in the films is just an easy way to allow the main characters to grow up"
125,Donald Trump made an appearance in an explicit 2000 Playboy video. Trump’s role in the porn is relatively benign and centers around him breaking a bottle of champagne on a Playboy-branded limo while several of the playmates are visiting New York City
126,a watch
127,dead whale
128,"Destiny"""
129,you won’t be seeing that with the Xbox One
130,"The warehouse retailer’s 16-year partnership with has expired, and as of June 20 members who had Costco AmEx cards should switch over to the new Costco Visa Anywhere card"
131,online gaming
132,Howard says as he walks the streets of Hong Kong
133,"More than half of the 85 students who took this test as part of research conducted by a team from University of California, Los Angeles, got it wrong"
134,Ammon Bundy
135,frostbite
136,"whitewashing , a Yes, we’re talking about, a casting practice that gives historically nonwhite character roles to white actors. Examples include Leonardo DiCaprio being cast as Persian poet Rumi , Tilda Swinton as Tibetan monk the Ancient One, and so on and on... The latest addition to this troubling trend – the rumor that actress Jennifer Lawrence is being cast as Mulan in a Disney reboot. The rumor was released by a fake (FAKE, PEOPLE!) @Unreel_News . It also followed with a ""breaking update"" that Hollywood’s sugar boy Zac Effron will be joining Lawrence ""in the live-action Mulan remake as Li Shang!"""
137,"Christine ""Tink"" Newman"
138,leaving used condoms on the bed and flashing instead of giving a tip
139,To avoid the tiffs
140,José José
141,more than $1.1 trillion
142,The unemployment rate in November fell to 4.6 percent
143,"smaller brains (more efficient, not dumber), resistance to diseases, increases in ADHD and blue eyes"
144,the Supreme Court on Monday granted her permission to terminate her pregnancy
145,"0.2 percentage points ahead of Clinton. That gap might be narrow, but it has still led some (including a senior elections analyst at RCP) to conclude ""it’s probably time to panic""."
146,"Wax inside a whale’s ear stores all sorts of useful information on the animal’s exposure to pollutants and stress levels throughout life, researchers have found. The team, led by Sascha Usenko, a environmental scientist at Baylor University in Waco, Texas, extracted an earplug from a blue whale (Balaenoptera musculus) killed in a collision with a ship off the coast of Santa Barbara, California, in 2007 and found it had come into contact with several organic pollutants and contained high levels of the stress hormone cortisol as it reached sexual maturity. ""It’s difficult to recover time-specific information on chemical exposure for almost any animal,"" says Stephen Trumble, a biologist also at Baylor and a co-author of the study, published in Proceedings of the National Academy of Sciences this week. That is especially true of the relatively rare blue whale"
147,replace all the larger vessels with those of smaller sizes
148,"""No,"""
149,08-May
150,Kill Your Darlings
151,The Rock
152,Jackson Vroman
153,1. Ideas Have Consequences by Richard Weaver
154,Researchers from the Massachusetts Institute of Technology (MIT) have developed a prototype imaging system
155,Katherine Heigl's behavior on set
156,Kiwi
157,Penn Jillette
158,"applying your foundation, blusher and concealer"
159,Taran Killam and Jay Pharoah
160,Idaho
161,readers of fiction are more empathetic towards others
162,Katrina Henry
163,low IQs
164,77
165,synaptic pruning
166,80 medals
167,a penis
168,1. Don't touch her bump
169,being a single mom to daughter Jessica
170,"$765,759"
171,"Laws that maintain the legal drinking age at 21 save lives on the road, and protect young people from other hazards of drinking"
172,Oregon
173,bright multi-colored chevron rug
