id,spoiler
0,Kidney
1,"Giving at the expense of your own well-being damages your chance of long-term success. In an article for The Harvard Business Review, Wharton School of the University of Pennsylvania professor, Dr Adam Grant and Wharton People Analytics researcher Reb Rebele explore the 'generosity burnout"
2,Have a Bunch of Money - Meditating
3,Braconid
4,Cured egg yolks
5,May the Fourth Be With You
6,"Take a long, warm shower with sweet-smelling essential oils"
7,"""If you wouldn't do it to a wheelchair, please don't do it to our dogs."""
8,Lord Ivar Mountbatten
9,Brandon — better known as the Mad Fientist
10,"""Who is watching your kids?"""
11,trying too hard
12,Celia Cruz
13,Jose Mourinho to pump the brakes on any talk of David De Gea heading to Real Madrid
14,"Who will read it? Fans of shocking, provocative fiction starring intensely disagreeable characters ― and readers who don’t mind being grossed out"
15,$281 billion
16,Hayao Miyazaki's Spirited Away gave me nightmares worse than after watching The Exorcist. I will forever live in the fear of finding out my parents have turned into pigs
17,"Sophia Al-Maria is preparing for the biggest exhibition of her career. Her solo show "" Black Friday ,"" which opens at New York's Whitney Museum of American Art on July 26, will comprise over 100 new videos, screened on a series of broken or rejected consumer electronics. The title, Al-Maria says, is in part a reference to the American ""national holiday of shopping,"" but also a nod to the holy nature of Fridays in Islam"
18,1. Get an education At least this one will be free
19,New York
20,Michael Sam
21,Drunk or Danish
22,"after winning two apple products for less than 20% of their value, I can say without any doubt that this new form of online shopping is a GREAT way to save money on high tech, expensive products!"
23,yellow
24,helping to raise awareness about a very important issue
25,Jessica Bentley
26,"She could tell there was sadness in the air. Something was ""off."" So, she asked them if they had had a rough day. ""It’s always a rough day when you’ve gotta put a brother in the ground."""
27,"rising sea levels make storm surges from hurricanes and typhoons potentially more deadly in coastal areas, contributing to increased destruction"
28,The Florida meltdown
29,Universal Basic Income
30,United Kingdom
31,this owner is coming back to pick up their dog...and their dog let’s them know exactly how he feels about having been left at the vet. In short: he is giving his owner some seriously relentless side-eye. Watch the hilarious video below to see one unamused puppy
32,Dave Lewis
33,not available for pre-order just yet
34,textbooks
35,belts out a few of his favorite Broadway tunes
36,"Laziness might not be a terrible trait after all. Michael Lewis, author of The Big Short, told the audience of the Insight Summit that being lazy"
37,"Austin, Texas"
38,"progressive muscular atrophy, or PMA. It appears to be an isolated illness of the lower motor neurons"
39,YInMn blue
40,blue-light blocking or ultraviolet-light
41,The strange bottle shape is not the first oddity to be spotted on Mars
42,Parenthood
43,subway vents on every block smell so much more putrid on a steamy summer day. Or how it is possible to smell a food cart
44,a wood plank
45,Jason Aldean
46,Harry pocketed it
47,"1,448.7 days"
48,Jimmy Graham
49,$10
50,"""Our talent office had Jordan on their radar for some time. His name was in the initial group of names that we discussed when looking at people to bring to Charlotte [where the SEC Network is located] for auditions"
51,It’s more of a glorified donate button that grants players some snazzy cards
52,the people keep pushing it on us
53,"High fat, low fat, no carb, more carb"
54,Pennsylvania
55,heart failure
56,"widowed or divorced men have more motivation to jump back into a new marriage and regain those aforementioned comforts. Another interesting finding combined both age and gender: In remarriages, 16 percent of couples involve a husband who is at least 10 years older than his wife"
57,Amber Galloway Gallego
58,Kili the Senegal parrot
59,Miley Cyrus
60,Mrs. Thom
61,"Step 1: At first, you’ll need to use the items in normal ways. Simply use the Lucky Egg to gain double XP for the next 30 minutes, or use the Incense to attract Pokemon towards your location. You can either use both these items together or use one at a time. Step 2: After the Step 1 is completed, exit the Pokemon Go app and move over to the ‘Settings’ option of your Android or iOS device. Go to the ‘date and time’ setting in the ‘Settings’ option. Step 3: Toggle off the option which allows to set the date and time of the device automatically. Must read: Pokemon Go cheat: Get unlimited pokecoins"
62,"Men don't have to do much more than unzip their pants to take a pee, and they might simply feel like going to the bathroom is so insignificant as to not even merit a hand washing"
63,Jussie Smollett
64,If Mr. Trump can’t reunify Republican-leaning voters
65,post it to Facebook
66,Clinton’s constant moralizing on tax transparency — and her spokesperson’s claims she hasn’t benefited from the North Orange Street address
67,Kevin Hart
68,A Ton Of Old HBO Shows
69,"$25,000 per month"
70,Goodbye Sapphire
71,identity
72,your secret WILL be heard by the wrong person – guaranteed
73,"1. Museum of Modern Art Known the world over as MoMA, the glassy Yoshio Taniguchi-designed Midtown building houses one of the most influential collections of modern art in the world. Van Gogh, Cézanne, Matisse, Magritte, Picasso, Pollock and Warhol are all here. There is also performance art, architecture, design and a collection of 22,000 films, with frequent screenings and retrospectives. Details:moma.org 2. Metropolitan Museum of Arts"
74,"Vegan athletes do need to be diligent about consuming sufficient protein, said Nancy Clark"
75,"Bolivia's San Pedro 'tourist prison', 20 years on - It is 20 years since Bolivia's chaotic San Pedro Prison became a tourist attraction, a place where backpackers stayed for weeks and partied with inmates. The story was immortalised in a best-selling book, Marching Powder, and now the book's protagonist - a former inmate - and author have reunited to return to the prison for a new documentary film. The inmate, Thomas McFadden, says returning to his old cell scared him. ""But I always wanted to go back to Bolivia"
76,MK2
77,Tokyo
78,15-Oct
79,Mexico City
80,MS Dhoni
81,Lizzie has already lost 21 pounds. She has medication to regulate her hormone levels
82,the mullet
83,Plastic Surgery For 'Bigger' Eyes
84,Neuphoric Anti-Aging Cream
85,"Decreasing the number of total rounds you complete, as well as increasing the amount of rest time between each exercise, will allow you to work your way up to more intense workouts in a safe yet effective way"
86,Katy Perry
87,Netherlands
88,Mzznaki Tetteh
89,Call of Duty franchise
90,a piece of foam with a photo of the thing I wanted printed on it
91,1. A SINGLE TABLESPOON HAS MORE SUGAR THAN A CHOCOLATE CHIP COOKIE
92,waitress
93,The 1937 Bugatti Type 57S
94,"""I like Donald Trump because he speaks from the heart,"" Malik Obama told The Post from his home in the rural village of Kogelo. ""Make America Great Again is a great slogan. I would like to meet him."" Obama, 58, a longtime Democrat, said his ""deep disappointment"" in his brother Barack’s administration has led him to recently switch allegiance to ""the party of Lincoln."""
95,"Peter Pilotto would be bringing his colorful prints stateside for a collaboration with Target. Now we've finally got a sneak peek at the collection, and it looks just as awesome as we'd hoped. In a photo published by Elle, Pilotto and his co–creative director Christopher De Vos pose with models showing off a drop-waist dress, a cropped tee, a pencil skirt and what appears to be a romper (!)"
96,one or both partners in the relationship are suffering from fertility problems
97,"""Jennifer Lawrence: not very talented!"""
98,Clinton’s advocacy for children
99,"""cancel the Paris Climate Plan."""
100,"1. Adventurous Christmas: Chile Torres del Paine, one of Chile's wondrous sights. Photo credit: Shutterstock. The sights are stupendous and varied: sand dunes, salt lakes, towering peaks, glaciers, geysers, lakes. Chile has it all in vivid colors. Use the capital Santiago as a hub and fly to hot spots like the Atacama Desert in the north, Patagonia in the south, or the mysterious Easter Island, famous for its nearly 900 monumental human figures with oversized heads carved right out of a volcanic mountain, then transported to different parts of the island  a gargantuan feat for mere humans. Another highlight of a Chile trip, especially for avid hikers, is a 19km hike to the base of Torres del Paine"
101,"Kara of ""Detroit: Become Human."""
102,"not taking into account sleeping time, Thai people spend the majority of their waking hours being completely sedentary"
103,makes the game's online multiplayer unplayable
104,raw apple and raw lettuce
105,anaphylaxis
106,carbonara
107,Simply giving an energy drink a sniff should be all you need to be convinced that the stuff is not good for you
108,Delores Curtis
109,Water bombers
110,Unconditional — they can do anything they want with it
111,the police get smarter
112,"kleptoparasites , animals that rob the food of other species"
113,Rita Hayworth’s name
114,Shamus Beaglehole
115,When you trade your DNA for information you are also giving it away
116,three
117,igloo
118,Samuel L Jackson’s villain
119,Ruby Tuesday (RT)
120,deflation
121,Towels
122,J. Crew Appeals To The Masses By Balancing Prices (UPDATED) - A representative at J. Crew
123,Andy Stern
124,"No mom. The Little Mermaid? No mom. Pocahontas? No mom.  Now some skeptics might point out that there are also a lot of characters who don't have any parents at all – like in Aladdin. But even in those films, there are side characters who have a father and no mother."
125,breaking a bottle of champagne
126,a watch
127,dead whale
128,Destiny
129,upgraded GPU
130,"After customers hit the cap, the bonus goes back to only 1%"
131,Ken Worrall
132,"""The key to becoming him is to always look unhappy and dissatisfied. It is his trademark look"
133,from memory
134,lack of Internet access inside his jail cell
135,frostbite
136,Jennifer Lawrence
137,"Christine ""Tink"" Newman"
138,used condoms
139,"To avoid the tiffs, SRK has blocked all the fans of other stars including Salman Khan."
140,José Jose
141,$1.1 trillion
142,"Frank Ocean, A Tribe Called Quest and Beyonce's own sister, Solange, also created stunning music this year. For most people, any bad day can be made slightly brighter by the mere thought that ""Hamilton: An American Musical"" is out there and might, one day, be enjoyed by you again or for the very first time. In June, the hip-hip Broadway sensation took home 11 Tony Awards"
143,nobody had blue eyes
144,The foetus is not compatible with living outside the uterus
145,bad predictor of voting patterns
146,"Once these compounds enter the food chain, they are passed on and accumulate."
147,"Sanatan Dharma Mandir is one of the oldest temples of Mussoorie. Thronged by scores of devotees all through the year, the temple is frequented by many Shiva bhakts. As is tradition, people pour water over the lingam with vessels made from copper of various sizes"
148,"No,"" she apparently replied, before pointing at the policeman and adding: ""But he has."""
149,"May 8, at 7 p.m. UK time (2 p.m. Eastern time), and physically June 17. It's being released via XL Recordings"
150,The Woman in Black
151,The Spot In Zanzibar
152,Jackson Vroman
153,seven
154,terahertz waves
155,Dr. Izzie Stevens
156,fatty fish
157,Penn Jillette
158,Avoid dark eyes
159,"Taran Killam, Jay Pharoah"
160,Idaho
161,more empathetic towards others
162,"""That’s not me. I would never do something like that."""
163,no
164,77
165,synaptic pruning
166,many of the medals that might have otherwise gone to Russian athletes would likely go to competitors from the US
167,Nicole Hillman was highly amused by her piece of pork (Picture: Caters) A hungry mum-of-one got a shock when the pork loin she defrosted looked just like a penis
168,1. Don't touch her bump
169,Single Motherhood
170,"$765,759"
171,"a higher legal drinking age led to less alcohol consumption. In one of the most recent studies, researchers found that in 2011, 36 percent of college students said they'd engaged in binge drinking in the past two weeks, compared with 43 percent of students in 1988, the first year that the age 21 law was adopted by all states. Researchers noted the age 21 law has had positive effects despite being sometimes disobeyed, and indifferently enforced"
172,Oregon
173,"Craig and Mary Romney may have been in the political eye for a while, but today we're focusing on the duo's incredible eye for design"
174,Camp Nou
175,"The Oscar winner will play a younger version of Kathleen Turner's character, Fraida Felcher"
176,"Julie Apicella lost her beautiful girl Emily after a three-year battle with cancer, and while this amazing mother got the chance to get a photo of her little girl’s first day of school back in 2015, when it came time to do the same thing the next year it was too late. Julie took a photo of where her daughter stood a year before, with her future ahead of her, only her daughter wasn’t there anymore. While it’s heartbreaking to realize what this mother must be going through, she somehow had the clarity of mind to write a thoughtful post about never taking things for granted and helping spread awareness of children’s cancer"
177,cease operations to gambling websites that use Steam’s trading system
178,cinnamon
179,Greg Puciato
180,strawberry rhubarb
181,"a bag container formed of white solid bleached sulfate paper with at least 60% post-consumer content."""
182,Brussels sprouts
183,Sephora Instant Moisturizer
184,Jimmy Smits
185,Dell’s laptops will play nicer with Linux
186,"""I want to talk to you for a minute."""
187,puberty - Getty
188,"1. Half-Life 3 If there’s one game more famous for not existing than The Last Guardian, it’s Half-Life 3"
189,You might end up looking at the wrong end of a gun
190,played outside with her friends Saturday
191,Laura Bush
192,Michael Brain
193,one of life's greatest inventions
194,JT managed to swat away the woman
195,"Depending on your priorities, it might be"
196,Colorado
197,"234,000"
198,The Danish company scaled back its advertising efforts amid a 25 per cent rise in annual sales
199,"I’m not killing off Harrison [Ford] at the end of it."""
200,An e-Passport contains an electronic chip
201,1. The action’s going to pick back up in Fall of 1984.
202,Roger Sterling
203,A black bag
204,"The man drove recklessly for nearly an hour, hitting an armored car and another vehicle. At one point, he looked up and waved at TV choppers broadcasting the chase. He ended up in the hills above Whittier, along Turnbull Canyon Road. See the most-read stories this hour >> There, he slowed his vehicle in a tree-covered section of the road. As the Honda Accord kept moving, he climbed almost imperceptibly out of the driver’s window"
205,Tulsiram Manere
206,Ailish Sheehan
207,remind yourself to be content with yourself and the goals achieved
208,Chicago
209,Sexual Objectification
210,"Mac McClelland worked as a picker in a warehouse of an online shipping behemoth to report for Mother Jones. But while such investigations were commonplace in the muckraker era, they've grown increasingly rare. Why? First, there's a real concern over ethics"
211,french fry
212,"They wielded fire, ventured deep underground, and shaped the subterranean rock into complex constructions"
213,she got distracted by her own ‘erotic thoughts
214,Sarah Gailey
215,3 is greater than 2
216,Eatsa
217,"$10,527,843,932"
218,1-999-367-3767
219,"""We invest less than we used to, per student,"""
220,"""Praise be to Allah"
